Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Netherlands,17134873,"2021-04-20 00:00:00",1442481,8.4200
Montenegro,628062,"2021-01-11 00:00:00",52819,8.4100
Panama,4314768,"2021-04-24 00:00:00",362696,8.4100
Panama,4314768,"2021-04-25 00:00:00",362967,8.4100
"United States",331002647,"2021-02-16 00:00:00",27826806,8.4100
Sweden,10099270,"2021-04-08 00:00:00",849629,8.4100
Belgium,11589616,"2021-04-25 00:00:00",974418,8.4100
Czechia,10708982,"2021-01-19 00:00:00",899503,8.4000
Panama,4314768,"2021-04-23 00:00:00",362358,8.4000
Serbia,6804596,"2021-03-25 00:00:00",571895,8.4000
Serbia,6804596,"2021-03-26 00:00:00",571895,8.4000
Slovenia,2078932,"2021-02-09 00:00:00",174364,8.3900
Panama,4314768,"2021-04-22 00:00:00",361992,8.3900
"United States",331002647,"2021-02-15 00:00:00",27764087,8.3900
Luxembourg,625976,"2021-02-12 00:00:00",52539,8.3900
Luxembourg,625976,"2021-02-13 00:00:00",52539,8.3900
Luxembourg,625976,"2021-02-14 00:00:00",52539,8.3900
Belgium,11589616,"2021-04-24 00:00:00",972041,8.3900
Bahrain,1701583,"2021-03-29 00:00:00",142669,8.3800
Panama,4314768,"2021-04-21 00:00:00",361678,8.3800
Netherlands,17134873,"2021-04-19 00:00:00",1435601,8.3800
Israel,8655541,"2021-02-14 00:00:00",724380,8.3700
Lithuania,2722291,"2021-04-13 00:00:00",227889,8.3700
Luxembourg,625976,"2021-02-11 00:00:00",52392,8.3700
Panama,4314768,"2021-04-19 00:00:00",361044,8.3700
Panama,4314768,"2021-04-20 00:00:00",361319,8.3700
"United States",331002647,"2021-02-14 00:00:00",27709901,8.3700
Slovenia,2078932,"2021-02-08 00:00:00",174000,8.3700
Slovenia,2078932,"2021-02-07 00:00:00",173702,8.3600
Panama,4314768,"2021-04-17 00:00:00",360597,8.3600
Panama,4314768,"2021-04-18 00:00:00",360841,8.3600
Panama,4314768,"2021-04-16 00:00:00",360249,8.3500
"San Marino",33938,"2021-01-21 00:00:00",2833,8.3500
"United States",331002647,"2021-02-13 00:00:00",27644880,8.3500
Belgium,11589616,"2021-04-23 00:00:00",968107,8.3500
Luxembourg,625976,"2021-02-10 00:00:00",52247,8.3500
Montenegro,628062,"2021-01-10 00:00:00",52431,8.3500
Netherlands,17134873,"2021-04-18 00:00:00",1428440,8.3400
Israel,8655541,"2021-02-13 00:00:00",721846,8.3400
Panama,4314768,"2021-04-15 00:00:00",359830,8.3400
Sweden,10099270,"2021-04-07 00:00:00",841807,8.3400
Bahrain,1701583,"2021-03-28 00:00:00",141845,8.3400
Estonia,1326539,"2021-04-06 00:00:00",110680,8.3400
Czechia,10708982,"2021-01-18 00:00:00",891852,8.3300
France,68147687,"2021-04-30 00:00:00",5677835,8.3300
Lithuania,2722291,"2021-04-12 00:00:00",226783,8.3300
Panama,4314768,"2021-04-14 00:00:00",359516,8.3300
"United States",331002647,"2021-02-12 00:00:00",27557758,8.3300
Serbia,6804596,"2021-03-24 00:00:00",566669,8.3300
Slovenia,2078932,"2021-02-06 00:00:00",173201,8.3300
Panama,4314768,"2021-04-12 00:00:00",358792,8.3200
Panama,4314768,"2021-04-13 00:00:00",359121,8.3200
Belgium,11589616,"2021-04-22 00:00:00",964526,8.3200
Andorra,77265,"2020-11-25 00:00:00",6428,8.3200
Panama,4314768,"2021-04-10 00:00:00",358377,8.3100
Panama,4314768,"2021-04-11 00:00:00",358611,8.3100
Lithuania,2722291,"2021-04-11 00:00:00",226173,8.3100
Luxembourg,625976,"2021-02-09 00:00:00",52022,8.3100
Israel,8655541,"2021-02-12 00:00:00",718746,8.3000
France,68147687,"2021-04-29 00:00:00",5653533,8.3000
Czechia,10708982,"2021-01-17 00:00:00",889159,8.3000
Panama,4314768,"2021-04-09 00:00:00",358098,8.3000
"United States",331002647,"2021-02-11 00:00:00",27458120,8.3000
Slovenia,2078932,"2021-02-05 00:00:00",172299,8.2900
Panama,4314768,"2021-04-08 00:00:00",357704,8.2900
"San Marino",33938,"2021-01-20 00:00:00",2815,8.2900
Luxembourg,625976,"2021-02-08 00:00:00",51879,8.2900
Netherlands,17134873,"2021-04-17 00:00:00",1419871,8.2900
Montenegro,628062,"2021-01-09 00:00:00",51999,8.2800
Lithuania,2722291,"2021-04-10 00:00:00",225308,8.2800
Panama,4314768,"2021-04-07 00:00:00",357277,8.2800
Bahrain,1701583,"2021-03-27 00:00:00",140818,8.2800
Belgium,11589616,"2021-04-21 00:00:00",960169,8.2800
Estonia,1326539,"2021-04-05 00:00:00",109781,8.2800
Panama,4314768,"2021-04-06 00:00:00",356913,8.2700
Sweden,10099270,"2021-04-06 00:00:00",834993,8.2700
Panama,4314768,"2021-04-04 00:00:00",356377,8.2600
Panama,4314768,"2021-04-05 00:00:00",356556,8.2600
"United States",331002647,"2021-02-10 00:00:00",27352360,8.2600
"San Marino",33938,"2021-01-19 00:00:00",2803,8.2600
Israel,8655541,"2021-02-11 00:00:00",714812,8.2600
France,68147687,"2021-04-28 00:00:00",5626985,8.2600
Czechia,10708982,"2021-01-16 00:00:00",883906,8.2500
Estonia,1326539,"2021-04-04 00:00:00",109399,8.2500
Serbia,6804596,"2021-03-23 00:00:00",561372,8.2500
Panama,4314768,"2021-04-02 00:00:00",355850,8.2500
Panama,4314768,"2021-04-03 00:00:00",356073,8.2500
Panama,4314768,"2021-04-01 00:00:00",355499,8.2400
Slovenia,2078932,"2021-02-04 00:00:00",171340,8.2400
